country,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
United Kingdom,2.09,2.07,2.05,2.08,2.10,2.10,2.32,2.26,2.26,2.27
United States,3.73,3.57,3.52,3.47,3.39,3.42,3.72,3.52,3.46,3.49
Germany,1.16,1.18,1.18,1.23,1.23,1.35,1.56,1.53,1.44,2.12
France,1.82,1.77,1.78,1.79,1.81,1.83,2.04,1.97,1.90,1.90
Poland,1.95,2.22,1.99,1.89,2.00,2.01,2.31,2.21,2.42,3.90
Canada,0.97,0.97,1.02,1.36,1.31,1.29,1.42,1.27,1.35,1.38
Italy,0.93,1.00,1.12,1.14,1.22,1.22,1.56,1.54,1.51,1.46
Spain,0.91,0.90,0.81,0.92,0.93,0.92,1.02,1.02,1.04,1.26
Netherlands,1.15,1.10,1.17,1.15,1.21,1.35,1.45,1.45,1.52,1.70
Norway,1.59,1.60,1.72,1.64,1.72,1.80,2.00,1.76,1.80,1.67
